job_name,company_name,location,category,job_link,description,about_company,requirements
Full-Stack Engineer,AIDAR,"Hamburg, Germany",Developer / Engineer,/jobs/8108/,## Remote-friendly within Germany,"AIDAR is building the future of artist scouting. We help A&Rs and music pros discover artists that actually fit their vision, using personalized AI agents that scout the music world 24/7. We're two founders, Janek leading product and tech, Caspar leading business and guiding product strategy and design, and we've launched publicly, have early paying customers, and have runway secured until summer 2027.","['Strong Python skills with a focus on writing clean, well-structured, and consistent code  ', 'Experience with Flutter, or solid frontend experience combined with a strong willingness to learn Flutter  ', 'Comfortable working with large databases and complex datasets  ', 'Based in Germany is a must  ', 'Able to take ownership of open-ended problems: analyze the situation, evaluate different approaches, and ship the best solution. This role is about solving problems, not implementing perfectly specified requirements  ', ""Interested in thinking beyond individual tasks. We're looking for someone who wants to understand the bigger picture, from our users' daily challenges to how every technical decision contributes to the product  "", 'Hands-on experience with AI/ML (LLM agents, embeddings, recommendation systems, etc.) is a plus, but not required  ', 'Comfortable using AI-assisted coding tools to increase productivity while maintaining a robust, sustainable codebase  ', 'Enjoys working closely with a two-person founding team, with direct feedback, shared decisions, and no layers between you and what gets built  ', 'Bonus: experience in startups and/or the music industry  ']"
Senior Python Engineer,EPAM,"Worldwide, Worldwide, Worldwide",Developer / Engineer,/jobs/8107/,"We are seeking a Senior Python Engineer who brings strong backend development expertise along with a solid grasp of cloud-native solutions. The right candidate will be capable of designing, building and maintaining scalable backend services through Python and modern cloud platforms.","EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.","['Requirements ', 'Solid experience in Python backend development  ', 'Familiarity with frameworks like FastAPI, Flask or Django  ', 'Practical experience using AWS, Azure or GCP  ', 'Proven background building REST APIs and microservices  ', 'Sound knowledge of relational and/or NoSQL databases  ', 'Exposure to CI/CD, testing and modern software engineering practices  ', 'Excellent analytical and problem-solving abilities  ', 'Nice to have ', 'Working knowledge of Docker and Kubernetes  ', 'Background in serverless architectures  ', 'Familiarity with data pipelines or event-driven architectures  ', 'Understanding of Terraform or infrastructure as code  ', 'We offer/Benefits ', 'Connectivity Bonus (25,000 ARS are paid with a salary receipt at the end of each month as a non-wages concept).  ']"
Computational Photonics Engineer,LumiAIres Ltd,"Glasgow, Scotland, United Kingdom",Developer / Engineer,/jobs/8105/,THE OPPORTUNITY,ABOUT LUMIAIRES,"['KEY RESPONSIBILITIES ', 'The role is structured around four core pillars: ', 'Model the photonic core and full signal chain using established optical-simulation and numerical wave-propagation methods. ', 'Build, maintain, and validate the high-fidelity digital twin of the photonic processor.\nQuantify how design and fabrication choices affect computational behaviour, feeding insight back to the photonic design team. ', 'Design and optimise input encoding and output decoding schemes for the photonic platform.\nCharacterise how the photonic core behaves as a physical computing medium.\nCo-own encoding–decoding optimisation with our academic partners. ', 'Develop the readout models and associated training pipelines. ', 'Build the learning loop that improves inference over time and feeds our software tools.\nOptimise the mapping of machine learning inference onto the photonic hardware. ', 'Harden the digital twin into a pre-evaluation environment that integrators can run, with the Full-Stack Software Engineer and the Strategic Partners Lead. ', 'Validate twin predictions against measured silicon in partnership with the Applied Photonics Engineer. ', 'WHAT WE ARE LOOKING FOR ', 'A strong computational scientist or engineer with an advanced degree (MSc or PhD) in applied mathematics, computational or theoretical physics, electrical engineering, computer science, or a related quantitative field.  ', 'Strong optical and photonic simulation skills, including transfer-matrix and numerical wave-propagation methods (or equivalent).  ', 'A grounding in practical machine learning — model training, evaluation, and pipeline development (Python; NumPy / SciPy and PyTorch / JAX or similar).  ', 'Strong scientific software practice and the ability to turn physics into validated, maintainable code.  ', 'Familiarity with photonic neural networks, optical, or neuromorphic computing is a strong advantage.  ', 'Experience with digital-twin or hardware-in-the-loop modelling, active-learning methods, or working alongside experimental and academic teams is welcome.  ', 'Comfort in an early-stage, fast-moving environment where structure is built, not inherited.  ']"
Senior Python Developer,Turing,"Remote, Remote, Remote",Developer / Engineer,/jobs/8103/,Role Overview:,Perks of Freelancing With Turing:,"['What does day-to-day look like: ', 'Design, develop, and maintain efficient, high-quality Python code to train and optimize AI models.  ', 'Conduct evaluations (Evals) to benchmark model performance and analyze results for continuous improvement.  ', 'Familiarity with Python frameworks and libraries  ', 'Evaluate and rank AI model responses to user queries across diverse domains, ensuring alignment with predefined criteria.  ', 'Develop comprehensive explanations and rationales for evaluations, showcasing excellent reasoning and technical expertise.  ', 'Lead efforts in Supervised Fine-Tuning (SFT), including creating and maintaining high-quality, task-specific datasets.  ', 'Collaborate with researchers and annotators to execute Reinforcement Learning with Human * Feedback (RLHF) and refine reward models.  ', ""Design innovative evaluation strategies and processes to improve the model's alignment with user needs and ethical guidelines.  "", 'Create and refine optimal responses to improve AI performance, emphasizing clarity, relevance, and technical accuracy.  ', 'Conduct thorough peer reviews of code and documentation, providing constructive feedback and identifying areas for improvement.  ', 'Collaborate with cross-functional teams to improve model performance and contribute to product enhancements.  ', 'Continuously explore and integrate new tools, techniques, and methodologies to enhance AI training processes.  ', 'Requirements: ', '3+ years of strong experience with Python programming language.  ', 'Industry experience and knowledge of code quality, formatting, and best practices of software development  ', 'Experience with Python’s testing ecosystem, including unit, integration, and property-based testing.  ', 'Knowledge of multi-threading and asynchronous programming in Python.  ', 'Ability to work with architectural patterns and refactor code without introducing regressions.  ', 'Strong debugging skills, including fixing memory and concurrency issues.  ', 'Fluent in conversational and written English communication skills  ']"
Python Machine Learning Engineer,Turing,"Remote, Remote, Remote",Developer / Engineer,/jobs/8102/,Role Overview:,About Turing:,"['Required Qualifications: ', 'Bachelor’s or Master’s degree in Computer Science, Machine Learning, AI, Statistics, or a related quantitative field.  ', '4+ years of hands-on DS/ML development experience,  ', 'Proficiency in key DS/ML areas and frameworks:Supervised and Unsupervised Learning Time-Series Forecasting Natural Language Processing (NLP) Computer Vision (CV) Statistical Modeling and Inference  ', 'Expertise in Python and core libraries (Pandas, NumPy, Scikit-learn, etc.).  ', 'Ability to understand and apply different models to real-world use cases  ', 'Strong understanding of data preprocessing, feature engineering, model tuning, and evaluation metrics.  ', 'Proven ability to design scalable, production-grade ML systems.  ', 'Preferred Qualifications: ', 'Proven expertise in Deep learning (e.g., convolutional neural networks, recurrent neural networks, transformers).  ', 'Experience with cloud data platforms (Databricks, AWS, etc.)  ', 'Hands-on experience with PySpark and Databricks Platform  ', 'Stay up-to-date with the latest advancements in machine learning and artificial intelligence.  ', 'Bonus: ', 'Experience and knowledge in Kaggle competitions and Benchmarks, such as MLEBench  ', 'Experimenting with new technologies and frameworks based on Research papers published in top conferences and journals  ', 'Perks of Freelancing With Turing:  ', 'Work in a fully remote environment. ', 'Commitments Required: At least 4 hours per day and minimum 20 hours per week with overlap of 4 hours with PST. (We have 3 options of time commitment: 20 hrs/week, 30 hrs/week or 40 hrs/week) ', 'Employment type  : Contractor assignment (no medical/paid leave) ', 'Duration of contract : 3 month; [expected start date is next week] ', 'Location : India, Pakistan, Nigeria, Kenya, Egypt, Ghana, Bangladesh, Turkey, Mexico ', 'Evaluation Process (approximately 75 mins) : ', 'Two rounds of interviews as follows:Interview 1: Technical, 60 mins Interview 2: Onboarding & cultural discussion, 15 mins ']"
Python Developer,Micro1,"Remote, Remote, Anywhere",Developer / Engineer,/jobs/8101/,"Job Description
Job Title: Python Developer","micro1 matches companies with skilled, pre-vetted software developers worldwide. (","['Required Skills and Qualifications: ', '3+ years of professional experience as a backend developer, with strong expertise in Python.  ', 'Proficient in building and maintaining RESTful and GraphQL APIs.  ', 'Advanced understanding of backend data validation, error handling, and API security.  ', 'Hands-on experience with database migrations, performance tuning, and schema design.  ', 'Extensive use of AI tools for coding; familiarity with Cursor is highly desirable.  ', 'Outstanding written and verbal communication skills, with a knack for clear incident and bug reporting.  ', 'Proven ability to thrive in fast-paced, confidential, and collaborative remote environments.  ', 'Preferred Qualifications: ', 'Visible contributions to open source (e.g., GitHub stars or contributions).  ', 'Experience designing or evaluating experimental tooling and developer workflows.  ', 'Demonstrated enthusiasm for AI advancements in software development.  ']"
Junior Python Developer - AI & Innovation Team,Adzuna,"Remote, Remote",Developer / Engineer,/jobs/8098/,Contract hours: Full time,,"['Experience : 1–2 years of commercial software development experience using Python  ', 'Location : Fully remote (must be located within a 2-hour timezone of London and able to work standard UK business hours).  ', 'Right to Work : This is a long-term role structured via a contractor agreement for international remote compliance. Candidates must have the legal right to work remotely as an independent contractor in their country of residence. We are unable to provide visa sponsorship for this position now or in the future.  ', 'Communication : Professional proficiency in English (both written and verbal) to collaborate effectively with a global team.  ', 'Education : A technical degree (2:1 or equivalent) in Computer Science, Software Engineering, or a highly relevant field.  ', 'Core Coding Skills : Solid understanding of Python fundamentals and object-oriented programming.  ', 'Execution : Record of writing clean, maintainable Python code into live, user-facing environments.  ', 'Databases : Good working knowledge of SQL and relational databases.  ', 'Cloud & Tools : Familiarity with AWS services and Git version control.  ', 'Mindset : A curious, proactive fast learner who loves solving technical puzzles and is excited by the AI/ML space.  ']"
Data Acquisition & Infrastructure Engineer,Iconic Art AI,"Montreal, QC, Canada",Developer / Engineer,/jobs/8097/,Role Overview,About Master Art Index,"['Core Requirements ', '3–5 years of professional experience in data engineering or a closely related discipline  ', 'Proven experience building and maintaining automated data collection pipelines from web-based public sources using Python (Scrapy, BeautifulSoup, Playwright, or Selenium)  ', 'Strong data cleaning and normalization skills, with demonstrated ability to handle heterogeneous, inconsistent real-world datasets  ', 'Solid PostgreSQL experience: schema design, query optimization, and database maintenance  ', 'Hands-on AWS experience: Lambda, EC2, S3, RDS  ', 'Experience scheduling and orchestrating data pipelines (Apache Airflow, AWS EventBridge, or equivalent)  ', 'Experience navigating the constraints of large-scale public data collection, including reliability, access patterns, and data freshness challenges  ', 'Nice to Have ', 'Knowledge of data quality frameworks and validation pipeline design  ', 'Experience with containerization (Docker) and infrastructure-as-code (Terraform, AWS CDK)  ', 'Familiarity with ETL/ELT tooling (dbt, AWS Glue, or equivalent)  ', ""Exposure to art market platforms (Christie's, Sotheby's, Artsy, Artnet) or understanding of how auction and gallery data is structured  "", 'Background or genuine interest in the art world, collectibles, or alternative asset markets  ', 'Experience in a startup or early-stage environment where ownership and adaptability are essential  ']"
Senior Data Engineer (100% Remote - USA Only),Six Feet Up,"100% Remote, USA",Developer / Engineer,/jobs/8095/,"Six Feet Up is seeking a Senior Data Engineer with deep experience designing, building, and maintaining secure, scalable data systems.","Six Feet Up makes the world a better place by using technology to accelerate the initiatives of companies that do good. Our engineers specialize in app development, AI, big data and cloud technology. Our impactful clients focus on tech & science, social good, and the environment.","['We are looking for someone with strong hands-on experience in: ', 'Data pipeline architecture and implementation  ', 'ETL/ELT orchestration tools such as Airflow, Dagster, or similar platforms  ', 'Python-based data engineering and data processing tools  ', 'Cloud-based data infrastructure, storage, and processing  ', 'Data modeling, schema design, validation, and quality-control practices  ', 'Working with public, proprietary, structured, and unstructured datasets  ', 'Time-series, sensor, IoT, or other high-volume data sources  ', 'Supporting machine learning or data science teams with reliable data workflows  ', 'Building reproducible, testable, and maintainable data systems  ', 'Version control, automated testing, and collaborative software development practices  ', 'Strong candidates may also have experience with: ', 'Machine learning pipelines for classification, prediction, recommendation, or categorization systems  ', 'MLOps, model evaluation, experiment tracking, and reproducible ML workflows  ', 'Processing noisy signal data or other data that requires cleaning, filtering, or feature extraction  ', 'Healthcare, digital health, research, or regulated software environments  ', 'HIPAA, privacy-preserving data architecture, or secure cloud data processing  ', 'Working with sensitive, clinical, or user-generated data  ', 'Helping researchers or domain experts scale early-stage algorithms into production-ready systems  ', 'Designing systems that support thousands or more users  ', 'A Plus: ', 'Experience with containers, CI/CD, DevOps practices, or Kubernetes  ', 'Familiarity with AWS, Google Cloud, Azure, or similar cloud platforms  ', 'Experience with consumer analytics, dashboards, or data visualization products  ', 'Experience supporting FDA, SaMD, clinical validation, audit, or regulatory documentation efforts  ', 'Experience designing secure data workflows for privacy-sensitive applications  ', 'About You ', 'You are a senior engineer who brings structure to ambiguous technical challenges. You ask thoughtful questions, identify risks early, and know how to balance research needs, business goals, engineering quality, and long-term maintainability. ', 'You care about data quality, privacy, testing, documentation, and clear communication. You are comfortable designing architecture, writing production code, reviewing data workflows, and collaborating with people from different technical backgrounds. ', 'You enjoy helping clients move from ideas and prototypes to secure, scalable, production-ready systems. ']"
Agentic AI Scientist,AstraZeneca,"Durham, North Carolina, USA",Researcher / Scientist,/jobs/8094/,"We are looking for Agentic AI Scientists eager to utilize their expertise in these advanced technologies to revolutionize our drug development processes. In the Pharmaceutical Technology and Development (PT&D) department, you will be a key player in transforming molecules into groundbreaking medical treatments.","PT&D, AstraZeneca leads the charge in developing cutting-edge synthetic routes, drug formulations and delivery technologies, ensuring our products are effective, safe, and of the highest quality.","['Essential skills/Experience: ', 'PhD in computer science, data science, artificial intelligence, machine learning or related fields.  ', 'At least 3 years of experience in Deep Learning and ML  ', 'Excellent coding skills in languages such as Python, R.  ', 'Hands-on industrial experience designing multi-agent patterns, digital twins and experience with agentic AI design patterns, reinforcement learning.  ', 'Extensive industrial experience with AI and ML frameworks like TensorFlow, PyTorch,  ', 'Hands-on experience with GenAI orchestration frameworks such as LangGraph, CrewAI  ', 'Hands-on experience with reinforcement learning libraries such as OpenAI Gym, Ray RLlib, or Stable Baselines.  ', 'Hands-on industrial experience with applied machine learning domains such as deep learning, NLP, GenAI.  ', 'Desirable skills/experience: ', 'Contributions to open-source projects. If you meet these criteria, please highlight merged GitHub PRs in your application.  ', 'Strong publication record in the field of AI.  ', 'Experience designing multi-agent systems in the pharmaceutical sector.  ', 'Experience delivering machine learning projects with applications in pharmaceutical development, chemical engineering or chemistry.  ', 'Experience with one or more of the following applied machine learning domains such as transfer learning, federated learning, few/zero shot learning, meta learning, explainable AI.  ']"
